Species,current_clim_current_lc,current_clim_future_SSP5_lc,future_clim_current_lc,future_clim_future_SSP5_lc,change_rel_lc,change_rel_cc,change_rel_both,additive,additive_new,add_diff,combined,Family,Threat_status,Range_area,add_sign,comb_sign,threatened
Ambystoma_mabeei,58615.924244114365,56326.36091440552,0,0,-3.906043211352652,-100,-100,-103.90604321135265,-107.81208642270532,-3.9060432113526673,-100,AMBYSTOMATIDAE,LC,11.0168177365,-,-,Not-threatened
Ambystoma_macrodactylum,539414.7570634393,535351.579328686,54322.95168714637,54204.47393740256,-0.7532566882065276,-89.92927965432774,-89.95124378270806,-90.68253634253428,-91.35993465618648,-0.6773983136522048,-89.95124378270806,AMBYSTOMATIDAE,LC,180.947850635,-,-,Not-threatened
Ambystoma_maculatum,906038.9520522312,887857.8550386222,759968.4433305053,743336.5787687454,-2.006657326644486,-16.121879571608666,-17.95754729031852,-18.128536898253152,-18.45204777586964,-0.32351087761648856,-17.95754729031852,AMBYSTOMATIDAE,LC,336.52318972666063,-,-,Not-threatened
Ambystoma_opacum,348278.8772834538,330771.8157071887,319399.96098130447,305327.45206697733,-5.0267365373458075,-8.291894279493059,-12.33248066936876,-13.318630816838866,-13.735442496224227,-0.41681167938536134,-12.33248066936876,AMBYSTOMATIDAE,LC,167.471597242,-,-,Not-threatened
Ambystoma_ordinarium,3501.43564165714,3672.9234505601416,0,0,4.897642751526939,-100,-100,-95.10235724847306,-90.20471449694611,4.897642751526945,-100,AMBYSTOMATIDAE,EN,0.377172434016,-,-,Threatened
Ambystoma_rosaceum,127835.96545900364,123726.15294039824,66574.30179534685,63929.0693644918,-3.2149110024309953,-47.92208784413108,-49.99132745237213,-51.13699884656207,-52.67765132125768,-1.5406524746956052,-49.99132745237213,AMBYSTOMATIDAE,LC,14.7849015742,-,-,Not-threatened
Ambystoma_silvense,69.35882848267497,69.35882848267497,9.035604483072593,9.035604483072593,0,-86.97266854019949,-86.97266854019949,-86.97266854019949,-86.97266854019949,0,-86.97266854019949,AMBYSTOMATIDAE,DD,0.09431672098737,-,-,Not-applicable
Ambystoma_talpoideum,203381.7789262324,196331.10801497506,192228.82902397253,185843.35479846408,-3.4667171014442966,-5.483750786890842,-8.623399903552615,-8.950467888335139,-9.140574014664882,-0.19010612632974322,-8.623399903552615,AMBYSTOMATIDAE,LC,65.5051073387,-,-,Not-threatened
Ambystoma_texanum,812296.106163666,838971.0477305368,0,0,3.2838938121779155,-100,-100,-96.71610618782208,-93.43221237564417,3.283893812177908,-100,AMBYSTOMATIDAE,LC,138.54756195674787,-,-,Not-threatened
Ambystoma_velasci,368419.2989962179,362906.15317306935,0,0,-1.4964324176744992,-100,-100,-101.4964324176745,-102.992864835349,-1.496432417674498,-100,AMBYSTOMATIDAE,LC,60.592786233,-,-,Not-threatened
Ameerega_bassleri,13377.748589374989,13164.823207476456,758.6914771468724,729.3338618630195,-1.5916383872518303,-94.32870582012994,-94.54815691152787,-95.92034420738177,-97.42171609941282,-1.5013718920310453,-94.54815691152787,DENDROBATIDAE,NT,1.60965738053,-,-,Not-threatened
Ameerega_bilinguis,29479.574596690134,29206.395865480754,0,0,-0.9266712120060641,-100,-100,-100.92667121200607,-101.85334242401214,-0.9266712120060703,-100,DENDROBATIDAE,LC,3.04232138498,-,-,Not-threatened
Ameerega_boliviana,5414.935049062106,5406.546739509425,0,0,-0.1549106217651599,-100,-100,-100.15491062176515,-100.30982124353032,-0.15491062176516834,-100,DENDROBATIDAE,LC,0.614118816069,-,-,Not-threatened
Ameerega_flavopicta,297326.5738603417,281687.76487059944,0,0,-5.259808696779322,-100,-100,-105.25980869677932,-110.51961739355862,-5.259808696779302,-100,DENDROBATIDAE,LC,75.7007748536,-,-,Not-threatened
Ameerega_hahneli,3442710.747107786,3435475.5544397086,0,0,-0.21015976071053327,-100,-100,-100.21015976071054,-100.42031952142105,-0.21015976071051057,-100,DENDROBATIDAE,LC,322.627479594,-,-,Not-threatened
Ameerega_macero,75562.69365464823,75546.42354685625,0,0,-0.021531931969416364,-100,-100,-100.02153193196942,-100.04306386393881,-0.02153193196939185,-100,DENDROBATIDAE,LC,6.74057750452,-,-,Not-threatened
Ameerega_parvula,184901.4146649236,184794.5697778772,335.93133792211125,335.93133792211125,-0.057784786146730424,-99.81831867618163,-99.81831867618163,-99.87610346232836,-99.93378326431066,-0.05767980198230305,-99.81831867618163,DENDROBATIDAE,LC,15.7431682328,-,-,Not-threatened
Ameerega_petersi,77522.57743236945,77307.39983567219,1672.5781104025798,1581.8907054692527,-0.2775676503854431,-97.84246323355059,-97.9594451605414,-98.12003088393604,-98.39160991021265,-0.271579026276612,-97.9594451605414,DENDROBATIDAE,LC,7.44874128133,-,-,Not-threatened
Ameerega_picta,1501115.150773355,1479296.956577094,0,0,-1.4534657241331919,-100,-100,-101.4534657241332,-102.90693144826636,-1.4534657241331672,-100,DENDROBATIDAE,LC,195.7393633898072,-,-,Not-threatened
Ameerega_pulchripecta,6656.334648791606,6656.334648791606,0,0,0,-100,-100,-100,-100,0,-100,DENDROBATIDAE,DD,0.570629941213,-,-,Not-applicable
Ameerega_shihuemoy,972.5433934569187,972.5433934569187,0,0,0,-100,-100,-100,-100,0,-100,DENDROBATIDAE,EN,0.0944331324171,-,-,Threatened
Ameerega_simulans,16642.684059635576,16636.952133337265,14509.418332005427,14503.686405707116,-0.034441117056430624,-12.818038965265682,-12.852480082322115,-12.852480082322113,-12.85689475812648,-0.004414675804365942,-12.852480082322115,DENDROBATIDAE,LC,1.74022869836,-,-,Not-threatened
